Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
001_Chained to the Rhythm - Katy Perry,-12.6072,-11.19,"(124.0, -43.5353)","(22.0, -5.9234)",0.4302,234.3357,240.8591
002_Zomboy - Endgame,-9.5792,-7.82,"(127.0, -54.2032)","(77.0, -4.461)",0.6916,306.8749,308.6734
003_Falling - Dropgun x Asketa,-10.4589,-9.6199,"(49.0, -33.5284)","(63.0, -5.8003)",0.9693,203.2839,204.2532
004_Namae no Nai Kaibutsu 227,-15.2272,-12.39,"(127.0, -51.9177)","(68.0, -7.8081)",1.538,311.7046,314.6975
005_Hide & Seek – Amber Run,-15.224,-12.55,"(124.0, -68.3406)","(70.0, -7.8309)",6.4563,264.0108,278.6964
006_Cruel Angels Thesis - Fujima Sakura,-13.6715,-12.4,"(9.0, -58.5968)","(107.0, -7.4822)",0.4616,245.4813,272.218
007_Kimi no Shiranai Monogatari,-11.9959,-10.95,"(0.0, -40.43)","(33.0, -7.6292)",5.5231,343.7155,349.2386
008_Beat it - Michael Jackson (Mutrix Remix),-10.4475,-8.39,"(125.0, -65.5771)","(39.0, -4.4201)",0.1004,223.5617,228.1465
009_Alan Walker - Spectre,-12.6926,-10.6,"(119.0, -61.0765)","(48.0, -5.005)",1.068,191.3788,206.2734
010_Fox Stevenson - Bruises,-18.4346,-8.3699,"(1.0, -22.3292)","(0.0, -14.54)",0.1034,2.6935,220.7738
011_Sonic Generations - City Escape,-14.04,-12.32,"(126.0, -56.4975)","(93.0, -8.1768)",1.2898,152.4157,155.7003
012_James Landino - Reaction ft Slyleaf),-16.7702,-13.35,"(18.0, -56.9082)","(107.0, -7.5409)",0.1153,117.4,121.9385
013_Fox Stevenson - Comeback,-16.5772,-14.45,"(126.0, -69.15)","(19.0, -10.5607)",0.3203,203.4532,206.6793
014_Elvenking - The Horden Ghost and the Sorcerer,-15.409,-13.56,"(127.0, -63.8754)","(31.0, -10.1257)",0.1491,274.8313,276.653
015_TXT - Run Away (Japanese ver),-25.8102,-10.7899,"(4.0, -43.2256)","(1.0, -18.3715)",0.1095,7.8483,219.4039
016_Obenkyou Shitoiteyo,-11.2938,-10.25,"(126.0, -41.6365)","(100.0, -6.1937)",0.8448,276.4567,280.7035
017_Asking Alexandria - The Violence,-31.8415,-19.93,"(0.0, -41.56)","(1.0, -24.4206)",0.3812,29.3035,426.3716
018_Heatseeker - Reaper,-11.1302,-8.75,"(5.0, -24.5178)","(55.0, -3.5396)",0.0229,188.3602,189.2996
019_Camellia – 1f1e33,-9.0374,-8.08,"(125.0, -57.804)","(92.0, -5.1849)",1.8545,162.3074,167.3799
020_Fighting Gold - Jojo Golden Wind,-23.9466,-14.59,"(2.0, -42.59)","(0.0, -14.26)",0.5503,1.9504,89.7324
021_Platinum Disco (Short Ver) [Nisemonogatari Opening 3],-11.771,-11.02,"(127.0, -44.2921)","(96.0, -7.2125)",0.6855,251.0077,252.7597
022_[Bloq Busters Vol 4] Guns n’ Roses – Sweet Child O’ Mine,-15.7676,-14.94,"(99.0, -30.6081)","(109.0, -9.5557)",0.506,352.4324,362.1257
023_YOASOBI – Yoru ni Kakeru,-12.0548,-11.31,"(0.0, -26.23)","(44.0, -7.4018)",4.1859,189.4283,281.076
024_The Prodigy – The Day is my Enemy,-12.2614,-10.48,"(105.0, -68.79)","(69.0, -6.5035)",0.3118,189.5212,231.3157
025_[[Wall Show+Chroma]] Cups (When I’m Gone)  Pitch Perfect,-29.1118,-19.27,"(113.0, -53.6974)","(101.0, -9.7165)",0.9269,254.5835,261.7226
026_Mogli – WinterSun (Neelix Remix),-17.3001,-13.48,"(87.0, -51.9052)","(107.0, -8.1227)",1.5339,266.4721,269.0017
027_Snoop Dogg & Wiz Khalifa – Young Wild and Free (ft Bruno Mars) [Z-ANESaber],-15.0542,-13.46,"(127.0, -27.0325)","(61.0, -7.5697)",0.2906,269.3979,270.7238
028_Moe Shop x Hentaidude  Superstar (Chroma RGB),-28.5792,-12.59,"(2.0, -49.5518)","(0.0, -17.35)",0.3013,7.0124,156.1647
029_Reol – Utena,-12.122,-10.97,"(96.0, -22.41)","(74.0, -6.5662)",1.7927,196.255,200.3987
030_[Bloq Busters Vol 4] Eric Johnson – Cliffs of Dover,-18.7449,-14.68,"(1.0, -19.9)","(0.0, -17.59)",0.0018,3.6223,267.1673
031_Ridin’ – Fise,-12.4276,-10.44,"(126.0, -51.3675)","(51.0, -5.915)",0.0244,202.0136,204.3693
032_Love With You (TV Size) [Kishuku Gakkou no Juliet Opening] – fripSide,-21.28,-12.46,"(0.0, -21.28)","(0.0, -21.28)",5.2379,0.8359,339.0451
033_UAD – HAYAKO,-14.4043,-12.35,"(0.0, -30.55)","(45.0, -6.7889)",3.8459,52.8021,129.8797
034_Throwing a Flashbang,-19.3861,-15.52,"(29.0, -39.3275)","(27.0, -3.1518)",0.0035,140.9915,296.1114
035_Realize – Suzuki Konomi (zero kara hajimeru isekai seikatsu saison 2 op)TV size,-10.4585,-10.21,"(93.0, -20.6198)","(4.0, -6.755)",4.8533,175.5892,244.0522
036_The surrounding people around (주변인) – Outsider,-12.7339,-10.53,"(4.0, -37.6978)","(91.0, -6.2328)",0.4269,186.5491,187.4753
037_Elle King – Ex’s And Oh’s,-14.7452,-11.91,"(127.0, -51.6069)","(76.0, -8.1212)",0.6667,223.0508,224.292
038_Uragirimono no Requiem (TV Size) [JoJo’s Bizarre Adventure Golden Wind 2nd Opening] – Daisuke Hasegawa,-20.7963,-19.66,"(6.0, -29.899)","(70.0, -11.6771)",1.1175,114.7141,115.8316
039_JoJo’s Bizarre Adventure Opening Compilation,-10.2905,-9.77,"(127.0, -64.48)","(3.0, -7.405)",0.4479,89.5825,90.7601
040_[TD4L] Teen Titans Theme Song [Z-ANESaber],-41.8265,-16.04,"(2.0, -70.77)","(0.0, -16.91)",0.1517,0.9752,61.3576
041_[[Wall Show + Chroma]] GAS GAS GAS  Manuel,-11.9573,-10.8699,"(127.0, -36.0967)","(49.0, -7.9567)",1.6512,269.2585,271.8001
042_Diana Ross – I’m Coming Out,-16.5159,-13.44,"(127.0, -64.9544)","(113.0, -9.2079)",0.1459,320.0638,322.048
043_Like A Riddle – Felix Jaehn (feat Hearts & Colors Adam Trigger),-13.9564,-12.3699,"(126.0, -50.2745)","(48.0, -6.5298)",1.579,176.936,180.5569
044_Mogli – WinterSun (Neelix Remix),-17.3001,-13.48,"(87.0, -51.9052)","(107.0, -8.1227)",1.5339,266.4721,269.0017
045_Semi Transparent Boy – Yorushika  準透明少年 – ヨルシカ,-12.5787,-11.59,"(96.0, -22.87)","(73.0, -8.5572)",0.4737,213.2056,281.0528
046_MAHO Dou – Ojamajo Carnival!!おジャ魔女カーニバル!! Covered by Tokino Sora × Tenjin Kotone,-15.7652,-14.41,"(125.0, -55.2039)","(105.0, -9.7748)",0.1481,216.2242,219.8106
047_Kienai Kioku,-14.5205,-14.2,"(126.0, -36.5828)","(100.0, -11.0343)",3.8054,189.4283,195.4296
048_Blues Traveler – Hook,-18.6665,-17.38,"(125.0, -49.8293)","(34.0, -11.7274)",0.7259,259.8777,265.6236
049_Perfectarea complete,-13.4557,-11.91,"(126.0, -63.9309)","(99.0, -8.2731)",0.6744,239.4441,243.3788
050_Flyers [Death Parade Opening] – AmaLee,-28.781,-11.88,"(1.0, -39.0321)","(0.0, -18.53)",1.2877,2.0897,227.984
051_[V2] Im Scatman feat Shirakami Fubuki – Hamburgaga,-12.9627,-11.84,"(127.0, -35.3787)","(83.0, -7.1529)",0.0341,56.5401,56.5743
052_Ridin’ – Fise,-12.4276,-10.44,"(126.0, -51.3675)","(51.0, -5.915)",0.0244,202.0136,204.3693
053_Reol – Bon-no-yu-gi,-8.924,-8.32,"(126.0, -17.5125)","(0.0, -4.5199)",0.4739,189.8463,192.4444
054_For me,-12.1016,-10.06,"(105.0, -23.935)","(112.0, -4.48)",0.0047,229.9863,229.9911
055_Dance! – Persona 4 Dancing All Night,-15.6773,-13.16,"(124.0, -50.1355)","(86.0, -7.579)",2.1102,219.5214,228.2859
056_JoJo’s Bizarre Adventure Opening Compilation,-10.4667,-10.13,"(127.0, -21.2094)","(108.0, -6.9546)",0.8652,260.435,262.0414
057_Best Part – The Score,-13.7672,-11.36,"(126.0, -59.0212)","(22.0, -5.9025)",1.5673,177.1682,180.6962
058_Blue Stahli – Awaken,-29.83,-12.41,"(0.0, -29.83)","(0.0, -29.83)",1.742,0.3715,127.4648
059_Primary  GLORIOUS DAYS  Chroma RGB,-12.5796,-11.24,"(125.0, -42.965)","(114.0, -7.3859)",0.7981,250.9148,255.8944
060_Uragirimono no Requiem (TV Size) [JoJo’s Bizarre Adventure Golden Wind 2nd Opening] – Daisuke Hasegawa,-13.7454,-12.51,"(111.0, -69.7125)","(88.0, -7.8)",0.9721,205.4037,237.2973
061_Tom Petty The Heartbreakers – Don’t Do Me Like That,-20.18,-17.26,"(125.0, -62.199)","(0.0, -9.36)",0.7945,159.2424,162.6775
062_Bonk Bonk Bonk Bonk,-13.2525,-10.16,"(126.0, -53.6075)","(69.0, -4.1137)",0.0614,154.2733,155.77
063_[[Wall Show + Chroma]] GAS GAS GAS  Manuel,-16.7677,-15.78,"(124.0, -46.7046)","(45.0, -10.8829)",0.897,105.1863,109.1907
064_No Rain – Blind Melon,-19.4395,-16.5,"(7.0, -46.6567)","(114.0, -12.414)",0.3046,246.6613,246.9659
065_Powerwolf – Venom of Venus,-11.6606,-10.97,"(126.0, -35.0993)","(43.0, -6.5799)",0.2678,206.5182,208.6399
066_Hare Hare Yukai (Short Ver) [The Melancholy of Haruhi Suzumiya Ending],-12.7296,-12.59,"(124.0, -23.4637)","(96.0, -9.24)",5.5019,63.9941,71.0868
067_Falling – Dropgun x Asketa & Natan Chaim,-10.4837,-9.42,"(127.0, -44.143)","(48.0, -5.0762)",0.0218,193.0042,193.0956
068_Bryan Adams – Summer of 69,-13.2022,-12.57,"(1.0, -25.7552)","(76.0, -8.7634)",0.0568,212.6597,212.7165
069_Reol – Bon-no-yu-gi,-8.924,-8.32,"(126.0, -17.5125)","(0.0, -4.5199)",0.4739,189.8463,192.4444
070_Sakuranbo – Otsuka Ai,-17.3906,-16.19,"(126.0, -65.0615)","(107.0, -11.6259)",8.4698,231.9673,243.5878
071_PSYQUI feat Such – Eyes On Me,-10.9762,-9.76,"(127.0, -44.8643)","(42.0, -4.3146)",4.7358,129.4163,134.1522
072_Minami -「 Amewomatsu、」美波「アメヲマツ、」,-16.014,-13.15,"(3.0, -33.1571)","(103.0, -7.8337)",1.2395,292.1999,296.0847
073_Kaerimichi [227 Soundtrack] – Sakura Fujima,-12.4929,-11.3,"(127.0, -50.0621)","(36.0, -6.5671)",0.396,89.6959,90.0919
074_My Soul Your Beats! [iDOLM@STER Soundtrack] – Chieri Ogata,-15.2737,-13.96,"(125.0, -42.3631)","(33.0, -10.0739)",0.3552,270.8839,275.6314
075_Different Heaven – Nekozilla,-15.1891,-10.69,"(127.0, -56.584)","(115.0, -4.5641)",0.0231,165.9636,165.9867
076_staple stable [227 Soundtrack] – Miu Takigawa,-14.9235,-13.24,"(125.0, -71.4599)","(74.0, -8.5243)",4.8798,82.245,89.0822
077_Help Is On The Way – Rise Against,-12.4923,-11.86,"(116.0, -34.1593)","(0.0, -8.22)",0.056,248.3141,258.7504
078_Superhuman (Nightcore),-12.8551,-10.58,"(127.0, -45.5264)","(113.0, -4.7465)",0.9972,189.3936,190.3909
