Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
001_Chained to the Rhythm - Katy Perry,-15.2149,-11.19,"(127.0, -98.7342)","(72.0, -5.34)",0.4302,240.4289,240.8591
002_Zomboy - Endgame,-10.046,-7.82,"(0.0, -80.47)","(82.0, -3.4629)",0.6916,307.9817,308.6734
003_Falling - Dropgun x Asketa,-10.9091,-9.6199,"(0.0, -98.04)","(57.0, -5.7157)",0.9693,203.2839,204.2532
004_Namae no Nai Kaibutsu 227,-15.5734,-12.39,"(0.0, -98.66)","(118.0, -7.1756)",1.538,313.1595,314.6975
005_Hide & Seek – Amber Run,-16.2985,-12.55,"(0.0, -97.69)","(118.0, -7.4896)",6.4563,272.2401,278.6964
006_Cruel Angels Thesis - Fujima Sakura,-15.4631,-12.4,"(116.0, -96.3162)","(107.0, -7.9952)",0.4616,271.7564,272.218
007_Kimi no Shiranai Monogatari,-12.8384,-10.95,"(0.0, -83.09)","(66.0, -7.5634)",5.5231,343.7155,349.2386
008_Beat it - Michael Jackson (Mutrix Remix),-12.0842,-8.39,"(0.0, -98.66)","(53.0, -3.5943)",0.1004,228.0461,228.1465
009_Alan Walker - Spectre,-12.9985,-10.31,"(0.0, -98.67)","(52.0, -5.1737)",1.068,192.0182,193.0863
010_Fox Stevenson - Bruises,-11.1488,-8.3699,"(0.0, -98.66)","(106.0, -4.164)",0.1034,220.6704,220.7738
011_Sonic Generations - City Escape,-14.7884,-12.32,"(0.0, -98.39)","(70.0, -8.1668)",1.2898,154.4104,155.7003
012_James Landino - Reaction ft Slyleaf),-19.5408,-13.35,"(124.0, -96.7856)","(51.0, -6.6873)",0.1153,121.8231,121.9385
013_Fox Stevenson - Comeback,-17.1839,-14.45,"(127.0, -76.2589)","(93.0, -9.8805)",0.3203,206.359,206.6793
014_Elvenking - The Horden Ghost and the Sorcerer,-15.5326,-13.56,"(0.0, -83.34)","(111.0, -9.1053)",0.1491,276.5039,276.653
015_TXT - Run Away (Japanese ver),-13.1486,-10.63,"(0.0, -98.73)","(12.0, -5.1162)",0.1881,210.5603,210.7485
016_Obenkyou Shitoiteyo,-12.3843,-10.25,"(127.0, -98.7069)","(90.0, -5.2503)",0.8448,279.8587,280.7035
017_Asking Alexandria - The Violence,-26.8063,-19.93,"(0.0, -98.65)","(26.0, -11.7437)",0.3812,425.9904,426.3716
018_Heatseeker - Reaper,-11.1723,-8.75,"(5.0, -24.1387)","(91.0, -3.707)",0.0229,189.2766,189.2996
019_Camellia – 1f1e33,-10.209,-8.08,"(0.0, -98.66)","(36.0, -5.8437)",1.8545,165.5253,167.3799
020_Fighting Gold - Jojo Golden Wind,-16.5807,-14.59,"(0.0, -83.59)","(60.0, -12.28)",0.5503,89.1821,89.7324
021_Platinum Disco (Short Ver) [Nisemonogatari Opening 3],-12.0899,-11.02,"(0.0, -98.66)","(103.0, -7.3941)",0.6855,252.0742,252.7597
022_[Bloq Busters Vol 4] Guns n’ Roses – Sweet Child O’ Mine,-18.0143,-14.94,"(0.0, -97.73)","(112.0, -9.225)",0.506,361.6197,362.1257
023_YOASOBI – Yoru ni Kakeru,-17.5021,-11.31,"(124.0, -98.7768)","(120.0, -6.6162)",4.1859,276.8901,281.076
024_The Prodigy – The Day is my Enemy,-12.884,-10.48,"(0.0, -98.66)","(115.0, -6.4745)",0.3118,231.0038,231.3157
025_[[Wall Show+Chroma]] Cups (When I’m Gone)  Pitch Perfect,-30.2531,-19.27,"(126.0, -91.926)","(100.0, -9.0487)",0.9269,260.7957,261.7226
026_Mogli – WinterSun (Neelix Remix),-18.0615,-13.48,"(0.0, -78.29)","(110.0, -8.4284)",1.5339,267.4677,269.0017
027_Snoop Dogg & Wiz Khalifa – Young Wild and Free (ft Bruno Mars) [Z-ANESaber],-15.2265,-13.46,"(127.0, -29.4802)","(83.0, -8.6874)",0.2906,270.4331,270.7238
028_Moe Shop x Hentaidude  Superstar (Chroma RGB),-15.2866,-12.59,"(0.0, -98.66)","(19.0, -7.3203)",0.3013,155.8633,156.1647
029_Reol – Utena,-13.387,-10.97,"(0.0, -98.09)","(70.0, -7.1206)",1.7927,198.606,200.3987
