,Title,Score
69,AXEN & HYLO - Habits (feat AKACIA) [NCS Release]_189,-165611.34910331768
511,MIDNIGHT CVLT & The Brig - Cant Escape [NCS Release]_102,-173034.88503750722
640,RudeLies & Clarx - Erase [NCS Release]_46,-186647.43489968273
11,3rd Prototype - Im Fine [NCS Release]_27,-191434.3364031238
275,Facading - Walk Away [NCS Release]_44,-199405.0929587942
508,Michael White - Got You [NCS Release]_379,-201629.699132144
18,Aeden & Harley Bird - Find A Way Out [NCS Release]_182,-214784.05167335668
635,ROY KNOX - Earthquake [NCS Release]_149,-216419.86037668475
749,Unknown Brain Heather Sommer - Perfect 10 (Unknown Brain & RudeLies VIP) [NCS Release]_202,-219605.32199450547
71,Axol & Max Hurrell - Shots Fired [NCS Release]_252,-220780.3963983328
628,Rob Gasser x Michael White x Miss Lina - Modular [NCS Release]_224,-220791.77575742637
624,Rob Gasser - Hollow (feat Veronica Bravo) [NCS Release]_213,-224610.74078156904
423,Koven x ROY KNOX - About Me [NCS Release]_185,-230641.89229885547
769,Venemy - Rescue Me (feat Car) [NCS Release]_698,-233171.588183559
233,Egzod - Rise Up (ft Veronica Bravo & MIME) [NCS Release]_194,-236024.0047166682
630,Robin Hustin - On Fire [NCS Release]_243,-236382.5977780074
329,Inukshuk - Too Far Gone [NCS Release]_362,-237261.4886723589
343,Janji - Together (Feat Vivien) [NCS Release]_763,-238739.94670477044
715,Tobu - Infectious [NCS Release]_767,-244995.88300806447
533,Netrum - Any Closer [NCS Release]_7,-245342.2500005174
506,Michael White - All Eyes On Me [NCS Release]_473,-247357.5116844147
703,The Void - Lost Language [NCS Release]_781,-250429.7614432109
399,Kasger - Cover It Up [NCS Release]_307,-255566.89473655098
591,Raven & Kreyn - Bubble [NCS Release]_349,-257379.80686118413
335,Itro x Valcos - Starbound [NCS Release]_714,-260784.01662428043
655,Simbai & Eyemèr - Thunder [NCS Release]_199,-264415.35727252834
600,Razihel - Power Up [NCS Release]_78,-265134.382124854
422,Koven - Never Have I Felt This [NCS Release]_264,-266146.55965354806
608,RetroVision - Over Again (feat Micah Martin) [NCS Release]_489,-268505.92843097483
379,Jonas Wang - Shining  [NCS Release]_34,-270543.05173045164
738,Unknown Brain - MATAFAKA (feat Marvin Divine) [NCS Release]_464,-271386.618852991
688,T-Mass & Jaxxtone - Gave To Me [NCS Release]_458,-272268.19443922257
534,Netrum - Colorblind (feat Halvorsen) [NCS Release]_72,-273394.8975904663
109,CARBIN & hayve - Murderer (feat Emily Makis) [NCS Release]_16,-274484.54102857027
27,Alan Walker - Fade [NCS Release]_729,-276278.53100456554
577,Phantom Sage - When I’m Gone [NCS Release]_430,-276605.7874107851
348,JIKES (Ft Nori) - Lets Fly Away Pt2 [NCS Release]_813,-277069.1853633139
766,Vena Cava - TOHKA (feat Raya) [NCS Release]_766,-277406.08557125414
704,THYKIER - INTENSIFY [NCS Release]_83,-279610.4005870155
384,Jordan Schor - Cosmic (feat Nathan Brumley) [NCS Release]_462,-280935.12577953597
214,Domastic - Forever [NCS Release]_342,-281909.04124789446
717,Tobu - Mesmerize [NCS Release]_760,-283083.4159369097
792,whogaux - i dont care [NCS Release]_186,-284235.22798439773
93,BH - Holding On [NCS Release]_45,-284725.60539365245
192,Disfigure - Blank [NCS Release]_816,-285922.07844304875
676,SubSound - Feel The Buzz [NCS Release]_797,-287777.6370809567
573,Phantom Sage - MIKO [NCS Release]_644,-288205.7168605792
762,Vanze x Balco x Fransis Derelle - All I Need (feat Brenton Mattheus) [NCS Release]_650,-289409.8289896718
752,Uplink & Castion - Euphoria [NCS Release]_491,-290869.73251088185
224,Egzod & Anna Yvette - My City [NCS Release]_367,-292119.7817912039
166,Desmeon - Hellcat [NCS Release]_643,-293108.40166600037
512,MIDNIGHT CVLT & Titus1 - Better Days [NCS Release]_90,-295336.8194294901
367,Jim Yosef - Speed [NCS Release]_527,-295867.8368185603
4,3rd Prototype & Lex Dave - Time (feat Yohamna Solange) [NCS Release]_675,-296321.6630809016
589,Raptures & Sam Ourt - Taking Control ft Halvorsen [NCS Release]_23,-297367.3403738021
596,Raven & Kreyn - RICH [NCS Release]_187,-297598.5995294135
49,Arcien - Elevate [NCS Release]_740,-298332.2925662198
558,OLWIK - This Life (feat Johnning) [NCS Release]_786,-299258.83518872655
686,T & Sugah x NCT - Stardust (feat Miyoki) [NCS Release]_627,-301549.9638826853
447,Le Malls - Come Through (feat Ari G) [NCS Release]_108,-302521.2061618109
35,Andromedik - Let Me In [NCS Release]_361,-303120.1076243733
557,OLWIK - Taking Over (feat Alexa Lusader) [NCS Release]_761,-303374.80864272255
430,Krale - Frontier (ft Jasmina Lin & Jay Christopher) [NCS Release]_733,-304606.00448680995
523,Mountkid - Dino [NCS Release]_330,-306006.812168012
584,Rameses B - Beside You (feat Soundr) [NCS Release]_574,-306643.23510012345
72,Axol & The Tech Thieves - Bleed [NCS Release]_477,-306920.99802849774
345,Jensation -  Joystick [NCS Release]_521,-306972.1618815145
50,Arlow - Feel So Lucky [NCS Release]_80,-309581.7614277979
566,Paul Flint - Savage [NCS Release]_578,-310638.9275062423
590,Raven & Kreyn - Biscuit [NCS Release]_317,-311160.64949949866
213,Domastic & Anna Yvette - Echoes [NCS Release]_156,-311228.7451639924
462,LFZ - Echoes [NCS Release]_501,-311410.14075019106
403,Killabyte - Our Story [NCS Release]_649,-312829.75721706153
664,Slashtaq - Neverland (feat Kalu) [NCS Release]_267,-313700.9236156107
79,Barren Gates & BEAUZ - Tomorrow (feat Harley Bird) [NCS Release]_228,-316248.6683648984
352,Jim Yosef & Anna Yvette - Linked [NCS Release]_387,-320022.810714571
595,Raven & Kreyn - Muffin [NCS Release]_274,-320083.4021947004
135,Convex - Home Soon (feat Micah Martin) [NCS Release]_134,-320143.76233261457
429,Krakn - Light [NCS Release]_434,-322819.10474174784
249,Elektronomia - Energy [NCS Release]_570,-324785.02046694513
719,Tobu - Roots [NCS Release]_588,-325397.13442241994
599,Razihel - Love U [NCS Release]_610,-326846.01288918674
502,Mendum - Save Myself (with xo sad) [NCS Release]_99,-327469.4948566683
226,Egzod & Neoni - The Revolution [NCS Release]_12,-327790.2974420439
301,Halcyon - December (feat Gian) [NCS Release]_389,-328577.8690685099
733,Unknown Brain & Anna Yvette - Twisted Reality [NCS Release]_409,-329124.3682053064
442,Laszlo - Dont Look Down [NCS Release]_770,-330824.3301989541
251,Elektronomia - Limitless [NCS Release]_495,-330844.33779739233
446,Laszlo - One Step Away [NCS Release]_794,-331238.5817948951
665,Spektrem - Shine (Gabriel Drew & Bloom Remix) [NCS Release]_809,-333485.0918635696
767,Venemy & Aznar ft Doubletake - Reign [NCS Release]_808,-333508.37247646187
450,Lemon Fight - Stronger (feat Jessica Reynoso) [NCS Release]_357,-333681.32381162886
729,Umpire - Gravity (feat Liz Kretschmer) [NCS Release]_700,-333826.1580102757
517,Modern Revolt - VOLT [NCS Release]_147,-336091.69637439994
95,Blazars - Polaris [NCS Release]_562,-337194.36678290577
748,Unknown Brain - Why Do I (feat Bri Tolani) [NCS Release]_343,-337364.17920247966
700,The Eden Project - Lost [NCS Release]_738,-337457.6185463782
334,Itro - Skyward Bound (feat Kédo Rebelle) [NCS Release]_688,-337498.0983645041
631,Robin Hustin x TobiMorrow - Light It Up (feat Jex) [NCS Release]_306,-337646.38059950713
284,Focus Fire - Mirage [NCS Release]_281,-339898.03513713344
649,Ship Wrek & Essy - Fools Gold [NCS Release]_355,-340180.3580097235
219,Dread Pitt - Reckless (ft C) [NCS Release]_247,-340829.84440928337
106,Cadmium - Click & Scroll (feat Eli Raain & Veronica Bravo) [NCS Release]_235,-340934.76046346105
774,Voicians - Seconds [NCS Release]_524,-342124.7189938263
648,Sex Whales & Roee Yeger - Where Was I (feat Ashley Apollodor) [NCS Release]_638,-342642.7863360697
556,Olly Walker - Sorry (I Had To Leave) [NCS Release]_96,-343589.5999579432
365,Jim Yosef - Link [NCS Release]_463,-344124.70252592076
186,Dirty Palm - Oblivion (feat Micah Martin) [NCS Release]_401,-344633.8180683078
545,NIVIRO - The Floor Is Lava [NCS Release]_435,-345771.000917442
22,Aero Chord & Anuka - Incomplete (Muzzy Remix) [NCS Release]_408,-345894.8106923724
741,Unknown Brain - Roots (feat Attxla) [NCS Release]_421,-347406.6951931599
47,Anna Yvette - Red Line [NCS Release]_171,-347899.16423800384
155,DEAF KEV - Invincible [NCS Release]_687,-349044.0806047943
680,Syn Cole - Feel Good [NCS Release]_613,-349049.5027076247
565,Paul Flint & Phil Lees - Girlfriend (ft LW) [NCS Release]_296,-349161.41601161275
280,Feint - Shockwave (feat Heather Sommer) [NCS Release]_260,-349575.5521905259
778,Warptech feat Cory Friesenhan - In The Stories [NCS Release]_754,-351391.9484822272
786,Waysons - Daydream [NCS Release]_635,-351618.9048591531
168,Desmeon - Undone (feat Steklo) [NCS Release]_583,-351626.08326148195
