,Title,Score
312,Heuse & Zeus x Crona - Pill (feat Emma Sameth) [NCS Release]_542,1.0
770,Venemy Ft Emily Jane - Heartbeat [NCS Release]_764,0.955873880305742
663,SKYL1NK - The Wizard [NCS Release]_568,0.9428322129629065
482,Malik Bash - Ghosts [NCS Release]_471,0.9146166287403705
484,Marin Hoxha & Caravn - Eternal [NCS Release]_60,0.8785293646503334
154,David Bulla - Unexpected [NCS Release]_757,0.8656839696753507
28,Alan Walker - Force [NCS Release]_697,0.8584291473182256
76,Axollo - Burn It [NCS Release]_391,0.8523974549296311
546,NIVIRO - The Ghost [NCS Official Video]_486,0.852121477167659
696,THANK YOU! ♥️_498,0.850287355024537
784,WATEVA - Ping Pong Party [NCS Release]_288,0.8369292244054067
609,RetroVision - Puzzle [NCS Release]_592,0.8348771443428078
341,James Mercy - Take You On (ft PhiloSofie) [NCS Release]_26,0.8245216916474805
381,Jonny Koch & Annie Sollange - LOVE ME [NCS Release]_97,0.8201210833341239
241,Electro-Light - Night Shines (feat Nathan Brumley) [NCS Uplifting Release]_724,0.8178373370853897
122,Catas & Kasger - Blueshift [NCS Release]_569,0.8162651362202271
96,Blooom & GhostnGhost - Desire [NCS Release]_190,0.815424625998783
139,Cormak - Flavors [NCS Release]_669,0.8149070276200577
660,SirensCeol - Coming Home [NCS Release]_818,0.8073765372519182
406,Killercats - Tell Me (feat Alex Skrindo) [NCS Release]_606,0.8068602423186659
697,The Arcturians & hayve - Bit By Bit [NCS Release]_135,0.8065266924055641
413,Kontinuum - First Rain [NCS Release]_672,0.7967794957786715
465,Linko - Goodbye [NCS Release]_19,0.7935515391106177
222,Dropouts - Let Go [NCS Release]_759,0.7906900054132888
726,Tom Wilson - Until I Die (feat joegarratt) [NCS Official Video]_198,0.788838973396413
485,Marin Hoxha & Chris Linton - With You [NCS Release]_318,0.7834735575241847
478,Main Reaktor - Awakening [NCS Release]_703,0.7831386173237059
119,Cartoon - Your Stories (feat Koit Toome) [NCS Release]_419,0.7792467014849025
207,Diviners - Stockholm Lights [NCS Release]_85,0.7782379742620111
144,Culture Code - Feel Again (feat Harley Bird) [NCS Release]_363,0.7778041082394197
461,LFZ - Echoes (Meikal Remix) [NCS Release]_415,0.7605551017881603
527,Mynerva & Nytrix - Find You [NCS Release]_151,0.7602636907524705
585,Rameses B - Cant Let You Go (feat Florenza) [NCS Release]_66,0.756688937914618
554,Nomra - Your Body [NCS Release]_31,0.7556882391516824
755,Uplink - To Myself (feat NK) [NCS Release]  Official Video_581,0.7498784769785141
77,Axollo - Moonstruck [NCS Release]_537,0.7438000990121197
235,Electric Joy Ride - Origin [NCS Release]_790,0.7431791697985007
753,Uplink - Crying Over You [NCS Release]_500,0.7422542087913351
262,Ellis - Clear My Head (AFISHAL Drum Remix) [NCS Release]_168,0.7406168353047691
